"","Experiment","PhageType","Time","VirusTiter","Temperature","Surface"
"206",3,"T4",0,1.23e+10,37,"Plastic"
"207",3,"T4",2,9.8e+09,37,"Plastic"
"208",3,"T4",4,8.05e+09,37,"Plastic"
"209",3,"T4",6,5.9e+09,37,"Plastic"
"210",3,"T4",8,4.5e+09,37,"Plastic"
"211",1,"PhiX174",0,1.79e+08,37,"Control"
"212",1,"PhiX174",2,1.77e+08,37,"Control"
"213",1,"PhiX174",4,1.49e+08,37,"Control"
"214",1,"PhiX174",6,1.3e+08,37,"Control"
"215",1,"PhiX174",8,1.19e+08,37,"Control"
"216",2,"PhiX174",0,1.76e+08,37,"Control"
"217",2,"PhiX174",2,1.61e+08,37,"Control"
"218",2,"PhiX174",4,1.53e+08,37,"Control"
"219",2,"PhiX174",6,1.26e+08,37,"Control"
"220",2,"PhiX174",8,1.24e+08,37,"Control"
"221",3,"PhiX174",0,1.84e+08,37,"Control"
"222",3,"PhiX174",2,1.82e+08,37,"Control"
"223",3,"PhiX174",4,1.48e+08,37,"Control"
"224",3,"PhiX174",6,1.28e+08,37,"Control"
"225",3,"PhiX174",8,1.25e+08,37,"Control"
"226",1,"T4",0,1.49e+10,37,"Control"
"227",1,"T4",2,1.16e+10,37,"Control"
"228",1,"T4",4,9.65e+09,37,"Control"
"229",1,"T4",6,8.3e+09,37,"Control"
"230",1,"T4",8,6.9e+09,37,"Control"
"231",2,"T4",0,1.55e+10,37,"Control"
"232",2,"T4",2,1.23e+10,37,"Control"
"233",2,"T4",4,1.02e+10,37,"Control"
"234",2,"T4",6,7.15e+09,37,"Control"
"235",2,"T4",8,6.05e+09,37,"Control"
"236",3,"T4",0,1.64e+10,37,"Control"
"237",3,"T4",2,1.11e+10,37,"Control"
"238",3,"T4",4,9.1e+09,37,"Control"
"239",3,"T4",6,7.35e+09,37,"Control"
"240",3,"T4",8,5.85e+09,37,"Control"
